location_name,accomodation_name,accomodation_id,accomodation_address,description,detailed_description,image,latitude,longitude,rating,review,accomodation_type
London,Travelodge,88e8c4da-ae1e-4bd6-a871-720ec9b67872,195-203 Waterloo Rd.,,,,51.5000875,-0.107588768,,,accommodation
London,Enterprise Rent-A-Car,9d9ea4db-2c8a-4a52-a143-ac2789816121,Brighton Rd.,,,,51.34944345,-0.100532663,,,accommodation
London,The Inn,a0d622b0-96d8-4038-b252-dff12ffb15bb,,,,,51.476237,-0.286778,,,accommodation
London,Lidl,6e0ce015-d17c-4fdd-8f26-337ca2cdb01d,Aberconway Rd.,,,,51.40160154,-0.193788941,,,accommodation
London,Ibis Hotel,f5b210b9-85b1-4138-a642-fe92fda9bf56,5 Commercial St.,,,,51.51569996,-0.072677135,,,accommodation
London,Park plaza,ece5ac4a-c085-4c6b-b97d-7f494380525c,York road,,,,51.455488,-0.195621,,,accommodation
London,Etap Hotel,7ee4ce5b-fd3c-4196-ae70-9ac67a86de7f,20-28 Staines Rd,,,,51.4671088,-0.366926193,,,accommodation
London,Corus  hotel,fafa3951-878a-4ce5-ae0f-94f78513ea53,,,,,51.608886,-0.297251,,,accommodation
London,Hendon Town Hall,98cb688d-86fc-472d-a0ea-7c21bf37fb4f,,,,,51.5882089,-0.228780685,,,accommodation
London,Sleeping Beauty Motel,18a2716a-08e2-49b8-9088-d1ab05274bb7,543 Lea Bridge Road,,,,51.573546,-0.014838,,,accommodation
London,Crestfield Hotel St Pancras,49458682-de4e-4619-afd0-b5d673caac73,3-4 Crestfield Street,,,,51.529786,-0.122445,,,accommodation
London,Novotel,142e8986-5e88-4c71-8ac6-e808d70adbf8,173-185 Greenwich High Rd,,,,51.47799386,-0.013892884,,,accommodation
London,TfL - Barclays Cycle Hire Station (Regents Park Outer Circle  ZSL London Zoo),d068c3c4-8de0-4caf-9c57-628b17e94378,Regent's Park  Outer Circle,,,,51.53501782,-0.158700943,,,accommodation
London,Farr & Near,bb9f9900-98ec-4d50-bdd2-06e0c03ed0cf,,,,,51.42570731,0.017542095,,,accommodation
London,The Harrington - Serviced Apartments and Residences,01c8cede-b88a-4a80-8daa-e48a2f7b6da0,1 Harrington Gardens,,,,51.49325453,-0.182100534,,,accommodation
London,Highfield Road,7ba81472-e362-4c03-a05e-5e25ee7b3c8a,,,,,51.60430348,0.17093319,,,accommodation
London,Vincent House,058947d1-b3ae-47d7-a83e-3c95f8e5c8bf,,,,,51.51097151,-0.196528453,,,accommodation
London,Fountain Square,1f201000-0925-44c7-a000-7779fb683399,123-151 Buckingham Palace Rd.,,,,51.49313119,-0.146443971,,,accommodation
London,Arun Lodge Hotel,3069561b-0c4c-406f-bd0f-a22781de9b69,,,,,51.448472,-0.171712,,,accommodation
London,The Florida Room,0e9123cc-2707-4340-8554-dd06f5d679d4,Highbury,,,,51.55359368,-0.104455948,,,accommodation
London,Yorkland Avenue,f84f2070-b9ee-4745-9c1a-9f336ed4e8f3,,,,,51.45532016,0.101149038,,,accommodation
London,Seraphine Hotel,051317dd-91ec-463d-b6f8-33eed6734b55,7 - 9 Kensington High Street ,,,,51.50227984,-0.187980985,,,accommodation
London,Hotel Verta,123c8078-ccbc-42ac-819d-a5a520215776,Bridges Court Road,,,,51.46920986,-0.178614023,,,accommodation
London,Number 16 St Alfeges Bed & Breakfast,25d01d2d-8669-49f1-9983-90c627af5224,St Alfege Passage,,,,51.480134,-0.011032,,,accommodation
London,Highroad House,8bcc043d-87c8-4ec7-a958-fe8d03606610,162 Chiswick Highroad,,,,51.4927268,-0.254865,,,accommodation
London,Grenada Board Of Tourism,57c442df-9805-48e2-89b9-52bb4d5baa8d,,,,,51.46358614,-0.207319694,,,accommodation
