location,name,landmark_id,landmark_address,description,detailed_description,image,latitude,longitude,rating,review,landmark_type
Amsterdam,Lutkemeerpolder,8195ba0c-ceab-49cb-959b-4941fc256d40,,,,,52.35798989,4.758861065,,,Other Great Outdoors
Amsterdam,"Amsterdam, De Aker",77613ce7-4944-4aa0-96db-a74a7ebafe9b,,,,,52.35158764,4.7753268,,,Other Great Outdoors
Amsterdam,Middle of Niets,e08c133a-2a6c-420d-b249-87c8ffd5103b,,,,,52.35409353,4.771261,,,Outdoors & Recreation
Amsterdam,Jachthaven De hooglanden,bce830d1-a933-45a0-9b62-c377cdc38806,,,,,52.353161,4.771116,,,Harbor / Marina
Amsterdam,Westgaarde Begraafplaats,cde9b867-eab7-4a9a-960d-ca1b56ae3bd7,,,,,52.35965577,4.778675016,,,Cemetery
Amsterdam,Pius Floris Boomverzorging,7146fa32-b629-4a71-a893-a5b489051da4,,,,,52.35558271,4.760894179,,,Garden
Amsterdam,Nysa's uitlaatplek,a285672a-566c-4a7a-b2b2-93cc8e94b18b,,,,,52.355773,4.777689481,,,Dog Run
Amsterdam,Jachthaven Osdorp,c595c06f-b055-457b-98b0-1cb0adc33f63,,,,,52.353182,4.771054,,,Harbor / Marina
Amsterdam,ecozone Osdorp,b89d885e-97ad-4e35-90ad-2d040170946b,,,,,52.35219813,4.767932822,,,Other Great Outdoors
Amsterdam,The Real PlayStation,86548c9a-6bb0-450c-b14e-81def92dedfd,,,,,52.351522,4.769957,,,Playground
Amsterdam,Joosbanckerweg 18a,3131e106-5d80-4c23-b5c1-ca4b62bb650f,,,,,52.353996,4.777176,,,Outdoors & Recreation
Amsterdam,klussie,b0c463e6-85be-4e1c-815f-d829f6e57035,,,,,52.35116959,4.773172855,,,Zoo
Amsterdam,Hockey,ac068167-88c3-4978-9efe-50c8e632fa9d,,,,,52.354702,4.778158639,,,Playground
Amsterdam,Speeltuin Seifertplein,8256b526-2298-4207-988f-ceed96f33e21,,,,,52.353761,4.77832,,,Playground
Amsterdam,POWER SOUND STUDIO,fe3df6cb-a19f-48cb-ace4-5cef56b8f37b,,,,,52.39014373,4.780345401,,,Music Venue
Amsterdam,Start KP1/3/5/7 (Abberdaan) Amsterdam Shortrally,9ed39ba5-913b-44be-a199-2bfa3e2ec02e,,,,,52.38964124,4.780023,,,Plaza
Amsterdam,Voorsterbos,f17fbb23-582b-47c6-a9b9-0951e63c5a34,,,,,52.384184,4.780457,,,Trail
Amsterdam,De Osdorperbinnenpolder Noord,77228636-f171-4ac2-b346-eaff75257c06,,,,,52.38417047,4.782602414,,,Park
Amsterdam,Shoeless Open Air,5a1f3fa0-6c3e-42be-852b-04842d8d2387,,,,,52.3832835,4.780956647,,,Nightclub
Amsterdam,Shoeless,6a467aaf-db21-45d1-9f8a-21f0461dccb9,,,,,52.38331588,4.781365116,,,Music Venue
Amsterdam,Lanterfanten festival,dfb093c4-8458-4794-9e5c-7c9a0797a80c,,,,,52.383078,4.781992,,,Music Venue
Amsterdam,S.C. Eendracht'82,a15fd52c-da04-4204-ad09-3ae5ebef5f1e,,,,,52.37935848,4.78389001,,,Soccer Stadium
Amsterdam,Amsterdam Panthers,17e8486f-c515-4ae1-84fb-c0362cc32f21,,,,,52.37932621,4.787111901,,,Athletics & Sports
Amsterdam,S.V. Eendracht,2494f044-6d19-4318-bfdb-94cad845a795,,,,,52.37938525,4.784793891,,,Soccer Field
Amsterdam,Buitenverblijf De Boois,33c5a0cb-4ee5-4fd0-a5a5-9a3d3a85cfed,,,,,52.37758413,4.7758381,,,Sculpture Garden
Amsterdam,De Tuinen Van West,ab8c9dda-0927-47ea-a1a4-b01aec49dbcc,,,,,52.381651,4.787168,,,Playground
