location_name,name,restaurant_id,restaurant_address,description,detailed_description,image,lat,lng,rating,reviews,restaurant_type
London,Odette's Restaurant and Bar,c85942c7-8776-48e9-afe1-400e657fd094,130 Regent's Park Road  London  NW1 8XL  United Kingdom,,,,51.54071061,-0.157446785,,,
London,Alexanders Greek Restaurant,fe7fd924-fdec-4bc1-a2b0-a3f439c31603,81 Russell Lane  London  N20 0BA  United Kingdom,,,,51.63000434,-0.156767342,,,
London,Green Jade Restaurant,65e59f8f-3caa-4e95-a071-7da475eb0770,435-437 Oakleigh Road North  London  N20 0RU  United Kingdom,,,,51.62340027,-0.153616687,,,
London,Delicia,46c6bff8-87c9-4dbf-a7a6-05b1051c8814, 4-5 Cheapside  Fortis Green   London  N2 9Hp  United Kingdom,,,,51.59096246,-0.153711287,,,
London,"McDonalds Head Office, East finchley, London",717b6422-81dc-4bf5-8c66-6efc4d44fdb9,11 - 59  High Road  East Finchley  London  N2 8AW  United Kingdom,,,,51.58794732,-0.164783363,,,
London,X factor,0720fd8a-1308-48d5-850e-2136a3a6d7f8,19  London  25000  United Kingdom,,,,51.55146207,-0.156761177,,,
London,Early Bird Cafe,8b70c29c-c8dc-4229-ab88-0df0334a30aa,2-3 Adelaide Road  Chalk Farm  London  NW3 2BN  United Kingdom,,,,51.54389493,-0.154029577,,,
London,Regent's Park Inner Circle Cafe,f0808aec-303c-473c-a621-a7ef39707e98,Inner Circle  London    United Kingdom,,,,51.5270548,-0.155044352,,,
London,At Home In Battersea,23527143-3dea-4f0c-9ff0-9e699925ae15,London    United Kingdom,,,,51.47365891,-0.152047355,,,
London,Purkins Wine Bar,3699bbe1-5edc-4b6f-8c82-1efd03edf96c,London    United Kingdom,,,,51.41672216,-0.152416463,,,
London,Gino's Restaurant - Mitcham,356ec088-72d0-4c74-bc68-5cb4f2ebfb87,6-8 Upper Green  Mitcham  CR4 2PA  United Kingdom,,,,51.40492011,-0.162990475,,,
London,Hare On The Green II,74405d32-4946-47eb-bf47-fc11a6c3a1d2,19 Manor Road  London  SM6 0BW  United Kingdom,,,,51.36653561,-0.153233831,,,
London,Cockfosters Delicatessen,06cef46f-1da7-4631-8839-a80dc35442b3,Cockfosters Road  London  EN4 0DW  United Kingdom,,,,51.66567801,-0.156256345,,,
London,Cock,642b44ff-a10f-47e2-b4f6-569cea37d6b9,Chalk Lane  London  EN4 9HU  United Kingdom,,,,51.65450585,-0.154375659,,,
London,cock and dragon cockfoster Pub,a5e43425-5283-44eb-83c6-1d471a065084,London  EN4 9HU  United Kingdom,,,,51.65450307,-0.154403894,,,
London,Radisson Blu Edwardian Grafton,f80d1a25-50b5-4df7-8b46-f221999f8a01,130 Tottenham Court Road  London  W1T 5AY  United Kingdom,,,,51.52434659,-0.137827238,,,
London,The Royal Air Force Club,ee4dbadc-a5ec-4942-b302-60dd4d36b1bf,128 Piccadilly  London  W1J 7PY  United Kingdom,,,,51.50403575,-0.148255378,,,
London,Joe's Fish Bar,33c30bfa-5a60-449a-b43d-8d92cebacae8,124 Alexandra Park Road  Muswell Hill  London  N10 2AH  United Kingdom,,,,51.59864698,-0.137208246,,,
London,Green Carnation Bar,8ea7594d-ab3d-4eb2-8938-830e77f2bd62,London    United Kingdom,,,,51.5736957,-0.136797929,,,
London,The Winchester Pub & Hotel,02f57b92-beb5-4839-9975-13187e38ee23,206 Archway Road  London  N6 5BA  United Kingdom,,,,51.57360075,-0.141136116,,,
London,"The Boogaloo, London",285b56b3-4e2a-496f-a428-ffb98c1eb1df,London    United Kingdom,,,,51.5762866,-0.143904275,,,
London,Castle's Traditional Pie & Mash,0f0a995b-292e-4441-9121-d301cd1d774f,229 Royal College Street  London  NW1 9LT  United Kingdom,,,,51.54222915,-0.138705918,,,
London,The London Edition Hotel,464829b4-cad6-4ef1-b8b2-18900a3911d7,Berners Street  London    United Kingdom,,,,51.51674041,-0.136444264,,,
London,"Nando's Regent Street, London",a6d8ec73-bb51-4b54-83a0-625b33ae3d70,46 Glasshouse Street Regent Street  Westminster  London  W1B 5DR  United Kingdom,,,,51.51044648,-0.13798617,,,
London,The Ritz London,6ae40022-9d97-4c75-9047-8d6bff64e4ec,150 Piccadilly  London  W1J 9BR  United Kingdom,,,,51.50725911,-0.141878773,,,
London,The Unicorn Camden Live,e0cfc93e-b46f-4400-be56-8596542198a0,227 Camden Road  London  NW1 9AA  United Kingdom,,,,51.54878742,-0.129327499,,,
London,The Black Bull,c42005c8-72c1-4049-945f-ce293c73846e,London    United Kingdom,,,,51.56272238,-0.403161451,,,
London,Nass Burger Hounslow,f1033300-d6d4-466a-adb5-7524c8d57e03,445 Great West Road  Hounslow    United Kingdom,,,,51.47869689,-0.364291901,,,
London,Cool Breeze West Indian Take Away,5961a290-0448-4b2d-87e9-a7e3b018c4d6,266 Hither Green Lane  London  SE13 6TT  United Kingdom,,,,51.44765185,-0.00055374,,,
London,The Signal Box,b1f5bd13-615d-41a3-a3b2-45938de77691,London    United Kingdom,,,,51.6086956,0.000293944,,,
London,ZAKI SNOOKER/POOL PALACE IN EAST LONDON,8d8f61b9-39ee-4354-bd60-c0b58b9b3594,88-90 Leytonstone road  London  E15 1TQ  United Kingdom,,,,51.54999886,0.005576115,,,
London,RIAL,a4945c90-ee45-4925-be7c-b94f6e9f3576,4A MEMORIAL AVENUE  WEST HAM  London  E15 3BT  United Kingdom,,,,51.52784946,0.005269583,,,
London,Armadillo Restaurant at The O2,ee6a5a72-2834-457f-92c5-12a1ee1d3a5b,Unit 9  The O2  Peninsula Square  London  SE10 0DX  United Kingdom,,,,51.50301339,0.004986616,,,
London,Zizzi's at the O2 Arena,af5a9f03-2e10-45d9-934d-f9c937523dc7,London    United Kingdom,,,,51.50300616,0.004967453,,,
London,Duchess Bar,6f1b2dee-8c04-4be3-8d73-83d9bfa7e3b0,1 WOOLWICH ROAD   Woolwich  SE10 ORA  United Kingdom,,,,51.48591643,0.007277198,,,
London,London Bridge,b917c337-a882-489f-a7ea-6bd224ec170a,London    United Kingdom,,,,51.4450311,0.004394307,,,
London,Macdonalds Downham,065d9797-3dc1-437a-820c-b7b9019234b3,London    United Kingdom,,,,51.42149875,-0.002429782,,,
London,Amurg.Restaurant,3506b612-832e-437a-82cc-7848b5114e52,579 high road leytonstone  London  E11 4PB  United Kingdom,,,,51.56115524,0.008466115,,,
London,Rose's cafe canning town,1fe98ef1-1f29-4b89-b263-1688777813ec,159 barking Road  London  E16 4HQ  United Kingdom,,,,51.51780676,0.01300754,,,
London,Mordens Wine Bar Blackheath,ef40e40b-c3dd-4606-a78f-5d944f39308f,7-9 Montpelier Vale  London  SE3 0TA  United Kingdom,,,,51.46667201,0.008554522,,,
London,McDonald's- Canning Town,c429ab92-d6e9-4a2a-a9ec-1c08576407bf,London    United Kingdom,,,,51.51819102,0.01377754,,,
London,The Abbey Arms,1e57caf3-4559-48ff-a7e0-57d10d597876,384 Barking Road  Plaistow  London  E13 8HL  United Kingdom,,,,51.52233172,0.022520455,,,
London,Kamana Indian Restaurant,41c15807-1898-4d41-a5f9-3b34a27f2cef,350 Baring Road  London  SE12 0DU  United Kingdom,,,,51.43143804,0.021189942,,,
London,Lloyds Bar,3f0cbc8b-9f6f-42b5-9279-5308de9c192d, 23 Westmoreland Place  Bromley  London  BR1 1DS  United Kingdom,,,,51.39961627,0.016791265,,,
London,Hadley House Restaurant,bd402221-2af6-42e7-86e9-0e6da3721de4,27 High Street Wanstead  London  E11 2AA  United Kingdom,,,,51.57951276,0.024423983,,,
London,Kebabish K.O The Grill,688d41a7-dcd8-42f4-8fd1-1b9e41beb05c,,,,,51.54326236,0.032424604,,,
London,Charlton cafe,ead333df-4416-4702-9509-99bc77f6aaf9,219 charlton road  London  se7 7el  United Kingdom,,,,51.47963153,0.031265197,,,
London,Seasons Restaurant & Bar Woodford Green,dade8f17-b088-44fe-875b-507150e2982c,24 The Broadway  Woodford Green  ig8 0hq  United Kingdom,,,,51.60813768,0.033521662,,,
London,At Home in the Kitchen,bbe8502e-ddae-4435-af52-a0cb5c3916fc,,,,,51.59891016,0.040356326,,,
London,Pink garlic indian restaurant,d5f72be8-6800-4427-a3c5-df831e8c8d58,32 Chatterton road   Bromley  Br29qn  United Kingdom,,,,51.39243505,0.035319446,,,
London,"The Kings Arms, Leaves Green, Keston, Kent",96d987d7-0074-43c0-a342-760fb13c82d1,London    United Kingdom,,,,51.33532327,0.029831144,,,
London,Waziri Darbar Resturant,22de6d4a-9d4e-4ee8-9bba-55be1c10485f,82 Katherine Road eastham  London  e6 1en  United Kingdom,,,,51.53454141,0.047062003,,,
London,YAZ'S DINER,70b6508d-3aa9-4469-a470-df24e997043f,17 Chapel Road  Ilford  IG1 2AF  United Kingdom,,,,51.56964212,0.052789818,,,
London,Tollgate Tavern,b5b04f07-7325-45ae-beec-c4dfdb1a28f7,London    United Kingdom,,,,51.51431661,0.05722835,,,
London,"Slug And Lettuce, South Woodford",2b95816a-0ead-4ada-82de-c17091799825,184 George Lane  London  E18 1AY  United Kingdom,,,,51.59072865,0.055815964,,,
London,YAAL Restaurant,65914587-feb4-4b66-b679-8d04d39a39a2,404 Barking Road  London  E6 2SA  United Kingdom,,,,51.53383877,0.06109005,,,
London,"The Red Lion, Shooters Hill",ba0b46cf-99f5-451c-9050-265a436224bd,6 red lion place  London  SE18 3RN  United Kingdom,,,,51.47053616,0.060177919,,,
London,Cristinas restaurant romanesc,3683b6dc-8098-445c-88b1-66689f7c2528,8-10 NORTH STREET  Barking  IG11 8AW  United Kingdom,,,,51.5366172,0.076652171,,,
London,Bm Lebanese Cuisine,4bac64d5-ecd5-48d0-ab25-284159bc1e7b,1-3 Joel Street  Town Centre  Northwood  United Kingdom,,,,51.602031,-0.409185,,,
London,Oriental Star,e353cbcd-a701-45b5-a4c0-afc1ae9ecf85,134 Finchley Road  London  United Kingdom,,,,51.547916,-0.180249,,,
London,Costa Coffee,22effc56-cbed-4cd9-9d75-ecb85cc92254,4 Great Portland Street  London  United Kingdom,,,,51.515905,-0.140742,,,
London,Greggs Plc,5ed2c904-7263-43e8-8190-2df3db689233,The Arena  Town Centre  Uxbridge  United Kingdom,,,,51.512278,-0.444718,,,
London,Tim's Palace,302f4a98-bb04-44b4-8938-566a24f4e809,222 High Street  Sutton  United Kingdom,,,,51.366643,-0.194351,,,
